Movie,Netflix Result,404,URL
American Assassin,Found,NO,https://www.netflix.com/title/80182951?source=35
American Circumcision,Found,YES,https://www.netflix.com/title/81000861
American Factory,Found,NO,https://www.netflix.com/title/81176188?source=35
American Factory: A Short Conversation with the Obamas,Found,NO,https://www.netflix.com/title/81176188
American Gospel: Christ Alone,Found,NO,https://www.netflix.com/title/81279408?source=35
American Hangman,Found,NO,https://www.netflix.com/title/81017011?source=35
American Honey,Found,NO,https://www.netflix.com/title/80096782?source=35
American Son,Found,NO,https://www.netflix.com/watch/81024100?source=35
A Mighty Team,Found,NO,https://www.netflix.com/title/80123743?source=35
A Mission in an Old Movie,Found,NO,https://www.netflix.com/title/81035869?source=35
Amit Tandon: Family Tandoncies,Found,NO,https://www.netflix.com/title/81094382
Among Family,Found,NO,https://www.netflix.com/title/81043345?source=35
A Most Violent Year,Found,NO,https://www.netflix.com/title/80017021?source=35
Amrapali,Found,NO,https://www.netflix.com/title/80158390?source=35
Amy,Found,NO,https://www.netflix.com/title/80049094?source=35
Amy Schumer: The Leather Special,Found,NO,https://www.netflix.com/title/80150002?source=35
Anaarkali of Aarah,Found,NO,https://www.netflix.com/title/80195886?source=35
Ana e Vitória,Found,NO,https://www.netflix.com/title/81020531?source=35
Anchor Baby,Found,NO,https://www.netflix.com/title/81270779?source=35
Andaz Apna Apna,Found,NO,https://www.netflix.com/title/20258084?source=35
And Breathe Normally,Found,NO,https://www.netflix.com/title/80998427?source=35
A New Capitalism,Found,NO,https://www.netflix.com/title/80994442?source=35
Angamaly Diaries,Found,NO,https://www.netflix.com/title/80182447?source=35
Angela's Christmas,Found,NO,https://www.netflix.com/title/80230507?source=35
Angel Has Fallen,Found,NO,https://www.netflix.com/title/80190284?source=35
Angu Vaikuntapurathu (Malayalam),Found,NO,https://www.netflix.com/title/81259350?source=35
An Hour and a Half,Found,NO,https://www.netflix.com/title/81035865?source=35
A Night at the Roxbury,Found,YES,https://www.netflix.com/ca/title/18066997
Ánima,Found,NO,https://www.netflix.com/title/81110498?source=35
Animales sin collar,Found,NO,https://www.netflix.com/title/80209658?source=35
Animal World,Found,NO,https://www.netflix.com/title/81004470?source=35
Animas,Found,NO,https://www.netflix.com/title/80239629?source=35
An Interview with God,Found,NO,https://www.netflix.com/title/81024332?source=35
Anjaan,Found,NO,https://www.netflix.com/title/80190101?source=35
Anjelah Johnson: Not Fancy,Found,NO,https://www.netflix.com/title/80046779?source=35
Ankur Arora Murder Case,Found,NO,https://www.netflix.com/title/80201829?source=35
Annabelle Hooper and the Ghosts of Nantucket,Found,NO,https://www.netflix.com/title/80190148?source=35
Anna Karenina,Found,NO,https://www.netflix.com/title/70243443?source=35
Anon,Found,NO,https://www.netflix.com/title/80195964?source=35
Antariksha Ke Rakhwale,Found,NO,https://www.netflix.com/title/81092781
"Antar, The Fourth Grandson of Shadad",Found,NO,https://www.netflix.com/title/81035836?source=35
Anthony Jeselnik: Fire in the Maternity Ward,Found,NO,https://www.netflix.com/title/80227677?source=35
Anthony Jeselnik: Thoughts and Prayers,Found,NO,https://www.netflix.com/title/80043049?source=35
Anthony Kaun Hai?,Found,NO,https://www.netflix.com/title/70055855?source=35
Antidote,Found,NO,https://www.netflix.com/title/81060043?source=35
Ant-Man and the Wasp,Found,NO,https://www.netflix.com/title/80220813?source=35
Antoine Griezmann: The Making of a Legend,Found,NO,https://www.netflix.com/title/81049949?source=35
An Upper Egyptian,Found,NO,https://www.netflix.com/title/81035868?source=35
Apache Warrior,Found,NO,https://www.netflix.com/title/80216003?source=35
A Perfect Ending,Found,NO,https://www.netflix.com/title/70209245?source=35
A Perfect Man,Found,YES,https://www.netflix.com/ca/title/70028891
APEX: The Story of the Hypercar,Found,NO,https://www.netflix.com/title/80109260?source=35
A Plastic Ocean,Found,NO,https://www.netflix.com/title/80164032?source=35
Apollo 18,Found,NO,https://www.netflix.com/title/70176655?source=35
Apostle,Found,NO,https://www.netflix.com/title/80158148?source=35
April and the Extraordinary World,Found,NO,https://www.netflix.com/title/80062096?source=35
Aquarius,Found,NO,https://www.netflix.com/title/80113667?source=35
Arango y Sanint: Ríase el show,Found,NO,https://www.netflix.com/title/80191988?source=35
